,0,1
0,Philippines,"1,796,848"
1,United States,"159,102"
2,India,"141,865"
3,Brazil,"110,784"
4,Mexico,"60,206"
5,United Kingdom,"53,153"
6,Thailand,"48,546"
7,Italy,"40,317"
8,Indonesia,"29,745"
9,Bangladesh,"29,344"
10,Turkey,"26,977"
11,China,"26,032"
12,Vietnam,"25,092"
13,Canada,"23,419"
14,South Korea,"23,244"
15,Australia,"21,565"
16,Colombia,"17,279"
17,Iran,"15,876"
18,Spain,"14,288"
19,Germany,"13,150"
20,Russia,"12,869"
21,France,"10,845"
22,Malaysia,"10,298"
23,Poland,"9,855"
24,Argentina,"9,645"
25,Japan,"8,669"
26,Peru,"7,725"
27,Netherlands,"5,090"
28,Saudi Arabia,"4,981"
29,Egypt,"4,937"
30,Myanmar (Burma),"4,928"
31,Ukraine,"4,547"
32,Chile,"4,460"
33,Pakistan,"4,434"
34,Puerto Rico,"4,361"
35,Portugal,"4,293"
36,United Arab Emirates,"4,215"
37,Hungary,"4,194"
38,Ecuador,"4,128"
39,South Africa,"3,537"
40,Ireland,"3,524"
41,Singapore,"3,301"
42,Sri Lanka,"3,192"
43,Romania,"3,040"
44,Belgium,"2,821"
45,Czechia,"2,796"
46,New Zealand,"2,772"
47,Nepal,"2,772"
48,Guatemala,"2,765"
49,Venezuela,"2,734"
50,Taiwan,"2,581"
51,Azerbaijan,"2,495"
52,Sweden,"2,336"
53,Greece,"2,174"
54,Costa Rica,"2,145"
55,Hong Kong SAR China,"2,134"
56,Iraq,"2,117"
57,Switzerland,"1,908"
58,Afghanistan,"1,856"
59,Norway,"1,848"
60,Kazakhstan,"1,740"
61,Austria,"1,677"
62,Bolivia,"1,616"
63,Algeria,"1,542"
64,Morocco,"1,486"
65,Honduras,"1,471"
66,El Salvador,"1,446"
67,Israel,"1,430"
68,Denmark,"1,352"
69,Serbia,"1,301"
70,Slovakia,"1,259"
71,Bulgaria,"1,231"
72,Finland,"1,194"
73,Nigeria,"1,191"
74,Qatar,"1,067"
75,Croatia,"1,045"
76,Panama,968
77,Dominican Republic,957
78,Uruguay,918
79,Paraguay,911
80,Albania,863
81,Lebanon,756
82,Lithuania,734
83,Kenya,731
84,Jordan,718
85,Kuwait,714
86,Belarus,711
87,Tunisia,690
88,Nicaragua,690
89,Oman,661
90,Syria,639
91,Armenia,623
92,Bahrain,604
93,Georgia,602
94,Cambodia,521
95,Uzbekistan,463
96,American Samoa,461
97,Slovenia,445
98,Latvia,444
99,Estonia,432
100,Iceland,412
101,Bosnia & Herzegovina,407
102,Kosovo,396
103,Cyprus,380
104,North Macedonia,377
105,Maldives,353
106,Guam,351
107,Palestinian Territories,346
108,Trinidad & Tobago,342
109,Yemen,316
110,North Korea,307
111,Brunei,302
112,Ghana,290
113,Mauritius,284
114,Laos,279
115,Malta,278
116,Sudan,261
117,Angola,261
118,Zimbabwe,257
119,Moldova,250
120,Andorra,249
121,Ethiopia,237
122,Cuba,232
123,Antarctica,219
124,Pitcairn Islands,210
125,Luxembourg,204
126,Macao SAR China,203
127,Libya,180
128,Uganda,163
129,Mongolia,155
130,Montenegro,132
131,Isle of Man,132
132,Bhutan,131
133,Turkmenistan,129
134,Kyrgyzstan,128
135,Tanzania,123
136,Réunion,112
137,Aruba,111
138,Madagascar,109
139,Botswana,108
140,Canary Islands,106
141,Bahamas,106
142,Jamaica,102
143,Guyana,101
144,Papua New Guinea,97
145,Anguilla,91
146,Northern Mariana Islands,89
147,Fiji,83
148,Mozambique,82
149,Zambia,78
150,Belize,77
151,Bermuda,71
152,Cayman Islands,68
153,Jersey,62
154,Rwanda,61
155,Cameroon,60
156,Cape Verde,58
157,Palau,57
158,Niger,57
159,Ascension Island,56
160,Antigua & Barbuda,55
161,Barbados,51
162,Somalia,50
163,Côte d’Ivoire,50
164,Christmas Island,49
165,Namibia,47
166,Guernsey,46
167,South Sudan,45
168,New Caledonia,44
169,Greenland,40
170,British Virgin Islands,39
171,Chad,39
172,Senegal,39
173,Vatican City,38
174,Congo - Kinshasa,38
175,Tajikistan,36
176,Marshall Islands,36
177,Benin,35
178,Gibraltar,33
179,Curaçao,33
180,San Marino,32
181,Malawi,32
182,French Polynesia,31
183,Suriname,29
184,Guadeloupe,28
185,Haiti,27
186,Burkina Faso,26
187,U.S. Virgin Islands,25
188,Equatorial Guinea,24
189,Caribbean Netherlands,24
190,Timor-Leste,22
191,Togo,21
192,Seychelles,21
193,British Indian Ocean Territory,21
194,Eswatini,20
195,Micronesia,20
196,Samoa,19
197,Monaco,19
198,Turks & Caicos Islands,18
199,Mali,18
200,Lesotho,18
201,Gabon,17
202,Kiribati,16
203,French Guiana,16
204,Faroe Islands,16
205,Eritrea,16
206,Burundi,16
207,Martinique,15
208,Djibouti,15
209,Congo - Brazzaville,15
210,Central African Republic,15
211,Solomon Islands,14
212,St. Lucia,13
213,Comoros,13
214,Cook Islands,13
215,Vanuatu,12
216,Guinea,12
217,Grenada,12
218,Ceuta & Melilla,12
219,Wallis & Futuna,11
220,Tuvalu,11
221,Nauru,11
222,Mauritania,11
223,Liechtenstein,11
224,Dominica,11
225,Diego Garcia,11
226,French Southern Territories,9
227,Guinea-Bissau,9
228,St. Barthélemy,9
229,Gambia,8
230,Falkland Islands,8
231,Cocos (Keeling) Islands,8
232,Sint Maarten,7
233,St. Martin,7
234,Liberia,7
235,South Georgia & South Sandwich Islands,7
236,Mayotte,6
237,St. Vincent & Grenadines,6
238,U.S. Outlying Islands,6
239,Tonga,6
240,Tristan da Cunha,6
241,Sierra Leone,6
242,Svalbard & Jan Mayen,6
243,St. Kitts & Nevis,6
244,Western Sahara,6
245,Åland Islands,6
246,Tokelau,5
247,São Tomé & Príncipe,5
248,St. Helena,5
249,St. Pierre & Miquelon,5
250,Niue,5
251,Norfolk Island,5
252,Montserrat,5
253,Pseudo-Bidi,1
