KURUMLAR,TOPLAM
TÜRKİYE BÜYÜK MİLLET MECLİSİ,9536586000
CUMHURBAŞKANLIĞI,12283843000
ANAYASA MAHKEMESİ,558799000
YARGITAY,2910537000
DANIŞTAY,1680171000
HAKİMLER VE SAVCILAR KURULU,759957000
SAYIŞTAY,2331746000
ADALET BAKANLIĞI,198703054000
MİLLİ SAVUNMA BAKANLIĞI,440496960000
İÇİŞLERİ BAKANLIĞI,76295436000
DIŞİŞLERİ BAKANLIĞI,31373647000
HAZİNE VE MALİYE BAKANLIĞI,4564413425000
MİLLİ EĞİTİM BAKANLIĞI,1092129668000
SAĞLIK BAKANLIĞI,732562378000
ULAŞTIRMA VE ALTYAPI BAKANLIĞI,369082137000
AİLE VE SOSYAL HİZMETLER BAKANLIĞI,334349925000
ENERJİ VE TABİİ KAYNAKLAR BAKANLIĞI,48323176000
KÜLTÜR VE TURİZM BAKANLIĞI,38964106000
SANAYİ VE TEKNOLOJİ BAKANLIĞI,78995069000
ÇEVRE ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ BAKANLIĞI,271741383000
TİCARET BAKANLIĞI,38501707000
GENÇLİK VE SPOR BAKANLIĞI,171030724000
TARIM VE ORMAN BAKANLIĞI,283124800000
MİLLİ GÜVENLİK KURULU GENEL SEKRETERLİĞİ,286061000
MİLLİ İSTİHBARAT TEŞKİLATI BAŞKANLIĞI,17447418000
JANDARMA GENEL KOMUTANLIĞI,189693588000
SAHİL GÜVENLİK KOMUTANLIĞI,11517337000
EMNİYET GENEL MÜDÜRLÜĞÜ,305479702000
DİYANET İŞLERİ BAŞKANLIĞI,91824805000
AFET VE ACİL DURUM YÖNETİMİ BAŞKANLIĞI,671317160000
GELİR İDARESİ BAŞKANLIĞI,32104510000
TAPU VE KADASTRO GENEL MÜDÜRLÜĞÜ,8160971000
METEOROLOJİ GENEL MÜDÜRLÜĞÜ,3592599000
GÖÇ İDARESİ BAŞKANLIĞI,21631742000
AVRUPA BİRLİĞİ BAŞKANLIĞI,4646786000
DEVLET ARŞİVLERİ BAŞKANLIĞI,857823000
İLETİŞİM BAŞKANLIĞI,4126595000
MİLLİ SARAYLAR İDARESİ BAŞKANLIĞI,1900146000
STRATEJİ VE BÜTÇE BAŞKANLIĞI,217183338000
ÇALIŞMA VE SOSYAL GÜVENLİK BAKANLIĞI,625780424000
İKLİM DEĞİŞİKLİĞİ BAŞKANLIĞI,178814000
